tweet_id,author_id,text,created_at,retweets,likes
1865364746427355225,422482188,"RT @rajuparulekar: ना खाता ना बही, अदानी कहे वो सब सही 🚨।👇

Adani Gains ₹45,835 Crore, thanks to MODI Government.

India is shackled by MOD…",2024-12-07 11:56:27+00:00,260,0
1865364746314113215,1303786361959268352,"RT @BJP4India: The entire Congress ecosystem was mobilized against Adani, with the party extensively using OCCRP reports to target Adani, P…",2024-12-07 11:56:26+00:00,474,0
1865364745999745399,1351102105361248263,RT @rishibagree: Your Telangana Congress Govt has signed ₹12000 crore MoU with Adani this year.,2024-12-07 11:56:26+00:00,392,0
1865364745593004288,1582483083084775424,"RT @BefittingFacts: George Soros and Rahul Gandhu use same lines:

Adani and Modi are same.

India is facing attack on constitution.

India…",2024-12-07 11:56:26+00:00,3,0
1865364745299382343,1634869608841887746,#pepe bullish 😇 https://t.co/cmtILSEmNp,2024-12-07 11:56:26+00:00,0,0
1865364744846053478,1740436796406935553,"RT @thewire_in: SEC Moves Court Linking Adani Fraud Case to Former Azure Director's Bribery Probe

#UnitedStates  
https://t.co/GqdwL5uSZC",2024-12-07 11:56:26+00:00,33,0
1865364743709401567,3392495391,@Skuullls Bullish morning to you SkullZ 📈,2024-12-07 11:56:26+00:00,0,0
1865364741809418628,1852755199443558400,@minesarah049 @JR5_Crypto Bullish,2024-12-07 11:56:25+00:00,0,0
1865364740593033343,1410603766051590149,@moneyhunter443 @SeiNetwork Ever Bullish on SEI,2024-12-07 11:56:25+00:00,0,0
1865364738995077212,1308889681950658560,"7 de diciembre 1896, cae en combate el mayor general Antonio Maceo y Grajales y el capitán Francisco “Panchito” Gómez Toro. “Esto va bien”, fueron las últimas palabras de nuestro Titán de Bronce ♥️🇨🇺 #SentirPinero 
#CubaViveEnSuHistoria #IslaDeLaJuventud https://t.co/OsBaoI9OVH",2024-12-07 11:56:25+00:00,0,0
1865364736461636077,1487108222045544448,@fronk_inu Bullish on $FRONK 🐸,2024-12-07 11:56:24+00:00,0,0
1865364735082045776,920035328794202112,RT @rovercrc: Christmas will be extremely bullish for #Bitcoin.🚀 https://t.co/qZ5jC1ADuw,2024-12-07 11:56:24+00:00,511,0
1865364733206917222,2343420873,RT @INCUttarPradesh: ADANI'S CHAUKIDAAR https://t.co/1faU2OmXnk,2024-12-07 11:56:23+00:00,40,0
1865364733161062615,1854657876859518986,@UnityHub23 XRP's massive buy-in is a clear sign big players are bullish.,2024-12-07 11:56:23+00:00,0,0
1865364727808791018,1815811045581074432,RT @AjayKum54233465: @reliancepower @reliancegroup @anilambani Sir your company Reliance Venture Asset Management company has invested in #…,2024-12-07 11:56:22+00:00,80,0
1865364726425026703,1429415411980767239,@realyanxin Super Bullish on @sign LFS! 10000000%,2024-12-07 11:56:22+00:00,0,0
1865364724931580190,1804096737126014976,"@Tomatoken_ I've always been bullish in this project.
Nice 👍",2024-12-07 11:56:21+00:00,0,0
1865364722565984468,229925640,"@TWLCommunity24 Bhai nahi ho ga fall, chota mota downside but over all it's a bullish month..",2024-12-07 11:56:21+00:00,0,0
1865364722066858417,233137122,"RT @rajuparulekar: ना खाता ना बही, अदानी कहे वो सब सही 🚨।👇

Adani Gains ₹45,835 Crore, thanks to MODI Government.

India is shackled by MOD…",2024-12-07 11:56:21+00:00,260,0
1865364721840328753,754766198,"RT @otienowill: What tribe is 

1. SHA?  
2. Adani deal?  
3. Finance Bill 2024?  
4. University funding?  
5. Falsehood?  
6. Political gi…",2024-12-07 11:56:21+00:00,4037,0
1865364721362158040,1856557051612176384,"@YouHodler 
feeling bullish",2024-12-07 11:56:21+00:00,0,0
1865364721098010734,1174652737058955269,"RT @AveFnix21472140: Maceo nos legó su coraje y su valor, Maceo nos enseñó que la independencia no se negocia. Su huella es una fortaleza p…",2024-12-07 11:56:20+00:00,5,0
1865364721064444042,1625602834249949193,"@TheDonOfApes $POPDOG  is a #solana memecoin of the POP narrative. 

Don't fade bullish gem. https://t.co/vAJ4ZsXLPE",2024-12-07 11:56:20+00:00,0,0
1865364720493998307,92045475,RT @AndrewYang: And we are back!  I will give my x earnings to someone who reposts this message and follows this account.  Will pick a winn…,2024-12-07 11:56:20+00:00,8350,0
1865364720020013254,1864777507649564672,"@rea_amir @MrBigWhaleREAL With earnings on the rise, $PUNCH is gaining serious momentum! The potential is undeniable. This is your chance to get in early. https://t.co/3maJxrhyjW",2024-12-07 11:56:20+00:00,0,0
1865364719466647782,771755576338489344,RT @Iyervval: At this point there is more evidence connecting Rahul Gandhi to the US state department and Soros than there ever was of 1) a…,2024-12-07 11:56:20+00:00,845,0
1865364718627459301,1836093675488890880,@catacombTON @ZenithTON @ClaytonOnTon @SadMeowMP3 @PovelDurev @redotoken @ton_blockchain Lets bullish it 🔥🔥,2024-12-07 11:56:20+00:00,0,0
1865364718149660985,1333979254002880512,RT @AjayKum54233465: @reliancepower @reliancegroup @anilambani Sir your company Reliance Venture Asset Management company has invested in #…,2024-12-07 11:56:20+00:00,80,0
1865364715729289643,1793276326482255872,"RT @BrunoRguezP: En el 128 aniversario de la caída en combate de Antonio Maceo Grajales, reafirmamos que en #Cuba no habrá un nuevo Zanjón.…",2024-12-07 11:56:19+00:00,15,0
1865364714320023665,1855498917565325312,@degenlifer Market will be rock bullish,2024-12-07 11:56:19+00:00,0,0
1865364713153896933,1096447158960697344,@Engi1Monasser Bullish af,2024-12-07 11:56:19+00:00,0,0
1865364711878848828,2443821374,"@RahulGandhi You are a failure, you Lost 89 elections so far. What happened in Haryana and Maharashtra would be repeated everywhere. GST is one of the best reform undertaken by Modi Govt. You have been picking up all wrong issues like Rafael, Pegasus, modi chor hai and now Adani.",2024-12-07 11:56:18+00:00,0,0
